No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
72	SFC-F-03899	SFC-F-03899	Montenegro	Eduardo Domingo Call Imberton	1	0	La Libertad	Talnique	Talnique	1	173.5	162.5	204545	168182	0	0	13.65940°	-89.4112	"Jan 15,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/15/14			
73	SFC-F-01208	#N/A	Montebello	Eduardo Schonenberg Hijo y Cia.	1	0	Usulutan 	Santiago de Maria	Las Flores	1	80.67	73.5	61704	#N/A	#N/A	#N/A	13.48849	-88.47046	#N/A	Rainforest Alliance CertifiedTM	Certificada	2011	03/29/13			
74	SFC-C-01954	#N/A	Beneficio El Borbollon	"El Borbollon, S.A. de C.V."	0	1	Santa Ana 	Chalchuapa	La Empalizada 	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2010	11/15/13			
75	SFC-F-00865	#N/A	El Cipres	"El Cipres, S.A. de C.V."	1	0	La libertad	Quezaltepeque	San Juan Los Planes	1	96.21	89.44	122433	#N/A	#N/A	#N/A	13.7592	-89.26018	#N/A	Rainforest Alliance CertifiedTM	Certificada	2009	10/31/13			
76	SFC-F-02581	SFC-F-02581	San Silvestre	"El Majo, S.A. de C.V."	1	0	Sonsonate	Izalco	Las Lajas	1	35	35	19634.09	19634	0.7	0.7	13.80629	-89.56747	"Nov 23,12"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
77	SFC-F-01178	SFC-F-01178	Las Brisas 	"El Patio, S.A. de C.V."	1	0	La Libertad	Colon	Las Brisas	1	189.7	140	93019	93100	0	0	13.74508	-89.30998	"Jul 21,13"	Rainforest Alliance CertifiedTM	Certificada	2009	07/21/13			
78	SFC-C-03720	SFC-G-03756	Beneficio San Ramon	"EL SAITILLAL, S.A. DE C.V."	0	1	Ahuachapan	Ahuachapan	Ahuachapan	1	N/A	N/A	N/A	310302	1	1	13.85962	-89.80189	"Dec 06,12"	Rainforest Alliance CertifiedTM	CdC	2011	11/29/12			
79	SFC-F-03756	SFC-G-03756	"GRUPO EL SAITILLAL, S.A. DE C.V."	"EL SAITILLAL, S.A. DE C.V."	1	0	Ahuachapan	Apaneca	Apaneca	9	642.2	613.4	549457	310302	1	1	13.85962	-89.80189	"Dec 06,12"	Rainforest Alliance CertifiedTM	Certificada	2011	12/06/12			
80	SFC-F-01299	#N/A	Santa Rita Los Trozos	"Empresas Tipos, S.A. de C.V."	1	0	La Libertad	Teotepeque	El Matazano	1	107	95	115737	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2006	04/30/13			
81	SFC-F-01002	#N/A	La Llorona	"Estudios e Inversiones, S.A. de C.V. "	1	0	La Libertad	Comasagua	El Rosario	1	82.25	78.05	67227	#N/A	#N/A	#N/A	13.62066	-89.34159	#N/A	Rainforest Alliance CertifiedTM	Certificada	2006	07/31/13			
